"Alert Id","Alert State","Alert Title","Alert Type","Tool","Rule Id","Rule Name","Rule Description","Tags","Severity","First Seen","Last Seen","Fixed On","Dismissed On","Dismissal Type","SLA Days","Days overdue","Alert Link","Organization","Project","Repository","Ref","Ecosystem","Location Paths","Logical Paths"
"217","active",".NET Core Remote Code Execution Vulnerability (CVE-2021-26701)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-ghhp-997w-qr28","GHSA-ghhp-997w-qr28","'dvcsharp-core-api.csproj' contains a reference to an insecure NuGet package 'system.text.encodings.web 4.4.0'.  Recommendation: Upgrade System.Text.Encodings.Web from 4.4.0 to 4.5.1 to fix the vulnerability.","","critical","2024-05-14T21:24:30Z","2024-05-14T21:24:30Z","","",,"7","237","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/217?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master","NuGet","s/dvcsharp-core-api.csproj @ 4eb2fe47","microsoft.aspnetcore.all 2.0.5(root),system.text.encodings.web 4.4.0"
"218","active","Cookie parsing failure (CVE-2020-1045)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-hxrm-9w7p-39cc","GHSA-hxrm-9w7p-39cc","'dvcsharp-core-api.csproj' contains a reference to an insecure NuGet package 'microsoft.aspnetcore.http 2.0.1'.  Recommendation: Upgrade Microsoft.AspNetCore.Http from 2.0.1 to 2.1.22 to fix the vulnerability.","","high","2024-05-14T21:24:30Z","2024-05-14T21:24:30Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/218?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master","NuGet","s/dvcsharp-core-api.csproj @ 4eb2fe47","microsoft.aspnetcore.all 2.0.5(root),microsoft.aspnetcore.http 2.0.1"
"219","active","Cookie parsing failure (CVE-2020-1045)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-hxrm-9w7p-39cc","GHSA-hxrm-9w7p-39cc","'dvcsharp-core-api.csproj' contains a reference to an insecure NuGet package 'microsoft.aspnetcore.owin 2.0.1'.  Recommendation: Upgrade Microsoft.AspNetCore.Owin from 2.0.1 to 3.1.8 to fix the vulnerability.","","high","2024-05-14T21:24:30Z","2024-05-14T21:24:30Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/219?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master","NuGet","s/dvcsharp-core-api.csproj @ 4eb2fe47","microsoft.aspnetcore.all 2.0.5(root),microsoft.aspnetcore.owin 2.0.1"
"220","active","Denial of service in ASP.NET Core (CVE-2018-8269)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-mv2r-q4g5-j8q5","GHSA-mv2r-q4g5-j8q5","'dvcsharp-core-api.csproj' contains a reference to an insecure NuGet package 'microsoft.data.odata 5.8.2'.  Recommendation: Upgrade Microsoft.Data.OData from 5.8.2 to 5.8.4 to fix the vulnerability.","","high","2024-05-14T21:24:30Z","2024-05-14T21:24:30Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/220?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master","NuGet","s/dvcsharp-core-api.csproj @ 4eb2fe47","microsoft.aspnetcore.all 2.0.5(root),microsoft.data.odata 5.8.2"
"221","active","Denial of service vulnerability exists when .NET and .NET Core improperly process XML documents (CVE-2018-0764)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-rr3c-f55v-qhv5","GHSA-rr3c-f55v-qhv5","'dvcsharp-core-api.csproj' contains a reference to an insecure NuGet package 'system.security.cryptography.xml 4.4.0'.  Recommendation: Upgrade System.Security.Cryptography.Xml from 4.4.0 to 4.4.2 to fix the vulnerability.","","high","2024-05-14T21:24:30Z","2024-05-14T21:24:30Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/221?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master","NuGet","s/dvcsharp-core-api.csproj @ 4eb2fe47","microsoft.aspnetcore.all 2.0.5(root),system.security.cryptography.xml 4.4.0"
"222","active","Security feature bypass vulnerability exists in ASP.NET when the number of incorrect login attempts is not validated (CVE-2018-8171)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-vhvh-528q-ff3p","GHSA-vhvh-528q-ff3p","'dvcsharp-core-api.csproj' contains a reference to an insecure NuGet package 'microsoft.aspnetcore.identity 2.0.1'.  Recommendation: Upgrade Microsoft.AspNetCore.Identity from 2.0.1 to 2.0.4 to fix the vulnerability.","","high","2024-05-14T21:24:30Z","2024-05-14T21:24:30Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/222?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master","NuGet","s/dvcsharp-core-api.csproj @ 4eb2fe47","microsoft.aspnetcore.all 2.0.5(root),microsoft.aspnetcore.identity 2.0.1"
"223","active",".NET Denial of Service Vulnerability (CVE-2023-38180)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-vmch-3w2x-vhgq","GHSA-vmch-3w2x-vhgq","'dvcsharp-core-api.csproj' contains a reference to an insecure NuGet package 'microsoft.aspnetcore.server.kestrel.transport.libuv 2.0.1'.  Recommendation: Upgrade Microsoft.AspNetCore.Server.Kestrel.Transport.Libuv from 2.0.1 to 2.1.40 to fix the vulnerability.","","high","2024-05-14T21:24:30Z","2024-05-14T21:24:30Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/223?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master","NuGet","s/dvcsharp-core-api.csproj @ 4eb2fe47","microsoft.aspnetcore.all 2.0.5(root),microsoft.aspnetcore.server.kestrel.transport.libuv 2.0.1"
"224","active","Azure SDK for .NET Information Disclosure Vulnerability. (CVE-2022-26907)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-whph-446h-6m9v","GHSA-whph-446h-6m9v","'dvcsharp-core-api.csproj' contains a reference to an insecure NuGet package 'microsoft.rest.clientruntime 2.3.8'.  Recommendation: Upgrade Microsoft.Rest.ClientRuntime from 2.3.8 to 2.3.24 to fix the vulnerability.","","medium","2024-05-14T21:24:30Z","2024-05-14T21:24:30Z","","",,"90","154","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/224?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master","NuGet","s/dvcsharp-core-api.csproj @ 4eb2fe47","microsoft.aspnetcore.all 2.0.5(root),microsoft.rest.clientruntime 2.3.8"
"225","active","ASP.NET Core and Visual Studio Denial of Service Vulnerability (CVE-2021-1723)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-242j-2gm6-5rwx","GHSA-242j-2gm6-5rwx","'dvcsharp-core-api.csproj' contains a reference to an insecure NuGet package 'microsoft.aspnetcore.server.kestrel.core 2.0.1'.  Recommendation: Upgrade Microsoft.AspNetCore.Server.Kestrel.Core from 2.0.1 to 2.1.25 to fix the vulnerability.","","high","2024-05-14T21:24:30Z","2024-05-14T21:24:30Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/225?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master","NuGet","s/dvcsharp-core-api.csproj @ 4eb2fe47","microsoft.aspnetcore.all 2.0.5(root),microsoft.aspnetcore.server.kestrel.core 2.0.1"
"226","active"," Microsoft Security Advisory CVE-2023-33170: .NET Security Feature Bypass Vulnerability (CVE-2023-33170)","dependency","Advanced Security Dependency Scanning","DEP1001_GHSA-25c8-p796-jg6r","GHSA-25c8-p796-jg6r","'dvcsharp-core-api.csproj' contains a reference to an insecure NuGet package 'microsoft.aspnetcore.identity 2.0.1'.  Recommendation: Upgrade Microsoft.AspNetCore.Identity from 2.0.1 to 2.1.39 to fix the vulnerability.","","high","2024-05-14T21:24:30Z","2024-05-14T21:24:30Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/226?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master","NuGet","s/dvcsharp-core-api.csproj @ 4eb2fe47","microsoft.aspnetcore.all 2.0.5(root),microsoft.aspnetcore.identity 2.0.1"
"227","active","Use of a hash function without a salt (cs/hash-without-salt)","code","CodeQL","cs/hash-without-salt","cs/hash-without-salt","Hashed passwords without a salt are vulnerable to dictionary attacks.","security,experimental,external/cwe/cwe-759","error","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/227?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Models/User.cs:74 @ 4eb2fe47",""
"228","active","Security sensitive JsonWebTokenHandler validations are disabled (cs/json-webtoken-handler/security-validations-disabled)","code","CodeQL","cs/json-webtoken-handler/security-validations-disabled","cs/json-webtoken-handler/security-validations-disabled","Check if security sensitive token validations for `JsonWebTokenHandler` are being disabled.","security,experimental,JsonWebTokenHandler,manual-verification-required","error","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/228?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Startup.cs:49 @ 4eb2fe47",""
"229","active","Security sensitive JsonWebTokenHandler validations are disabled (cs/json-webtoken-handler/security-validations-disabled)","code","CodeQL","cs/json-webtoken-handler/security-validations-disabled","cs/json-webtoken-handler/security-validations-disabled","Check if security sensitive token validations for `JsonWebTokenHandler` are being disabled.","security,experimental,JsonWebTokenHandler,manual-verification-required","error","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/229?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Startup.cs:48 @ 4eb2fe47",""
"230","active","SQL query built from user-controlled sources (cs/sql-injection)","code","CodeQL","cs/sql-injection","cs/sql-injection","Building a SQL query from user-controlled sources is vulnerable to insertion of malicious SQL code by the user.","security,external/cwe/cwe-089","high","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/230?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Controllers/ProductsController.cs:73 @ 4eb2fe47",""
"231","active","User-controlled bypass of sensitive method (cs/user-controlled-bypass)","code","CodeQL","cs/user-controlled-bypass","cs/user-controlled-bypass","User-controlled bypassing of sensitive methods may allow attackers to avoid passing through authentication systems.","security,external/cwe/cwe-807,external/cwe/cwe-247,external/cwe/cwe-350","high","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","",,"30","214","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/231?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Controllers/AuthorizationsController.cs:53 @ 4eb2fe47",""
"232","dismissed","Missing XML validation (cs/xml/missing-validation)","code","CodeQL","cs/xml/missing-validation","cs/xml/missing-validation","User input should not be processed as XML without validating it against a known schema.","security,external/cwe/cwe-112","medium","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","2024-05-09T14:54:44Z","acceptedRisk","90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/232?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Controllers/ProductsController.cs:82 @ 4eb2fe47",""
"233","active","Hard-coded credentials (githubsecuritylab/hardcoded-credentials-symmetricsecuritykey)","code","CodeQL","githubsecuritylab/hardcoded-credentials-symmetricsecuritykey","githubsecuritylab/hardcoded-credentials-symmetricsecuritykey","Credentials are hard coded in the source code of the application.","security,external/cwe/cwe-259,external/cwe/cwe-321,external/cwe/cwe-798","critical","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","",,"7","236","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/233?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Models/User.cs:17 @ 4eb2fe47",""
"234","active","Use of an inappropriate cryptographic hashing algorithm on passwords (githubsecuritylab/weak-password-hashing)","code","CodeQL","githubsecuritylab/weak-password-hashing","githubsecuritylab/weak-password-hashing","Using inappropriate cryptographic hashing algorithms with passwords can compromise security.","security,external/cwe/cwe-327,external/cwe/cwe-328,external/cwe/cwe-916","high","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","",,"30","213","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/234?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Models/User.cs:74 @ 4eb2fe47",""
"235","active","Use of a broken or weak cryptographic hashing algorithm on sensitive data (githubsecuritylab/weak-sensitive-data-hashing)","code","CodeQL","githubsecuritylab/weak-sensitive-data-hashing","githubsecuritylab/weak-sensitive-data-hashing","Using broken or weak cryptographic hashing algorithms can compromise security.","security,external/cwe/cwe-327,external/cwe/cwe-328","high","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","",,"30","213","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/235?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Controllers/PasswordResetsController.cs:80 @ 4eb2fe47",""
"236","active","Use of a broken or weak cryptographic hashing algorithm on sensitive data (githubsecuritylab/weak-sensitive-data-hashing)","code","CodeQL","githubsecuritylab/weak-sensitive-data-hashing","githubsecuritylab/weak-sensitive-data-hashing","Using broken or weak cryptographic hashing algorithms can compromise security.","security,external/cwe/cwe-327,external/cwe/cwe-328","high","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","",,"30","213","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/236?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Models/User.cs:74 @ 4eb2fe47",""
"237","active","Unsafe deserializer (cs/unsafe-deserialization)","code","CodeQL","cs/unsafe-deserialization","cs/unsafe-deserialization","Calling an unsafe deserializer with data controlled by an attacker can lead to denial of service and other security problems.","security,external/cwe/cwe-502","critical","2024-05-14T21:26:59Z","2024-05-14T21:26:59Z","","",,"7","211","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/28e46abb-f2e7-4038-8495-7429d1c97c95/alerts/237?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","dvcsharp-api","refs/heads/master",,"Controllers/ImportsController.cs:46 @ 4eb2fe47",""
"238","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/238?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"",""
"239","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/239?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"",""
"240","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/240?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"",""
"241","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/241?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"",""
"242","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/242?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"",""
"243","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/243?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"",""
"244","fixed","Stored cross-site scripting (cs/web/stored-xss)","code","CodeQL","cs/web/stored-xss","cs/web/stored-xss","Writing input from the database directly to a web page indicates a cross-site scripting vulnerability if the data was originally user-provided.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-01-24T15:10:11Z","2024-01-24T15:10:11Z","2024-06-25T12:38:31Z","",,"90","0","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/244?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"",""
"245","active","Cross-site scripting (cs/web/xss)","code","CodeQL","cs/web/xss","cs/web/xss","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,"90","114","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/245?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"WebGoat.NET/Views/Blog/Index.cshtml:22 @ 099b1c25,WebGoat.NET/Views/Blog/Index.cshtml:22 @ 099b1c25,WebGoat.NET/Views/Blog/Index.cshtml:22 @ d7acc5c9",""
"246","active","Cross-site scripting (cs/web/xss)","code","CodeQL","cs/web/xss","cs/web/xss","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,"90","114","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/246?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:42 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:42 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:42 @ d7acc5c9",""
"247","active","Cross-site scripting (cs/web/xss)","code","CodeQL","cs/web/xss","cs/web/xss","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,"90","114","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/247?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:21 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:21 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:21 @ d7acc5c9",""
"248","active","Cross-site scripting (cs/web/xss)","code","CodeQL","cs/web/xss","cs/web/xss","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,"90","114","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/248?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:39 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:39 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:39 @ d7acc5c9",""
"249","active","Cross-site scripting (cs/web/xss)","code","CodeQL","cs/web/xss","cs/web/xss","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,"90","114","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/249?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:24 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:24 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:24 @ d7acc5c9",""
"250","active","Cross-site scripting (cs/web/xss)","code","CodeQL","cs/web/xss","cs/web/xss","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,"90","114","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/250?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:30 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:30 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:30 @ d7acc5c9",""
"251","active","Cross-site scripting (cs/web/xss)","code","CodeQL","cs/web/xss","cs/web/xss","Writing user input directly to a web page allows for a cross-site scripting vulnerability.","security,external/cwe/cwe-079,external/cwe/cwe-116","medium","2024-08-15T02:51:04Z","2024-08-15T02:51:04Z","","",,"90","114","https://dev.azure.com/octodemo-felickz/8fbc37c7-2ed6-4b1a-b8fb-8b2b0e4f7008/_git/d12ac495-ba94-463e-afa3-7b04620e27e8/alerts/251?branch=refs/heads/master","octodemo-felickz","csharp-synthetics","WebGoat.NET7","refs/heads/master",,"WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:36 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:36 @ 099b1c25,WebGoat.NET/Views/Account/ChangeAccountInfo.cshtml:36 @ d7acc5c9",""
